year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2017,CAN,Canada,USA,USA,53236497.621,137257720.155,0
2017,SAU,Saudi Arabia,JPN,Japan,25623261.536,63427300.0,0
2017,RUS,Russian Federation,CHN,China,20598233.288,54127758.852,0
2017,SAU,Saudi Arabia,CHN,China,20514965.132,52179521.0,0
2017,AGO,Angola,CHN,China,20122697.996,50416003.7,0
2017,SAU,Saudi Arabia,USA,USA,18184827.847,45305323.554,0
2017,SAU,Saudi Arabia,KOR,Rep. of Korea,17032190.881,43061840.0,0
2017,RUS,Russian Federation,NLD,Netherlands,16675807.228,44928850.251,0
2017,ARE,United Arab Emirates,JPN,Japan,15641447.932,37702368.8,0
2017,IRQ,Iraq,IND,India,15241431.574,42171210.0,0
2017,SAU,Saudi Arabia,IND,India,14344564.978,35848780.0,0
2017,IRQ,Iraq,CHN,China,13812852.179,36815227.6,0
2017,OMN,Oman,CHN,China,12374603.703,31006893.83,0
2017,NLD,Netherlands,BEL,Belgium,12368065.72,24654481.265,0
2017,IRN,Iran,CHN,China,11928933.144,27552731.635,0
2017,IRQ,Iraq,USA,USA,11096288.387,27645075.326,0
2017,NOR,Norway,GBR,United Kingdom,10979926.392,28803782.698,0
2017,VEN,Venezuela,USA,USA,10719988.874,26707570.097,0
2017,MEX,Mexico,USA,USA,10265998.858,25576508.273,0
2017,IRN,Iran,IND,India,9251630.526,20994088.307,0
2017,RUS,Russian Federation,DEU,Germany,9063722.777,25487618.444,0
2017,KWT,Kuwait,KOR,Rep. of Korea,8339102.899,22245180.0,0
2017,KAZ,Kazakhstan,ITA,Italy,8102923.925,6211878.992,0
2017,IRN,Iran,KOR,Rep. of Korea,7573696.644,18010062.638,0
2017,BRA,Brazil,CHN,China,7387851.279,22270204.246,0
2017,NGA,Nigeria,IND,India,7249302.541,16979330.0,0
2017,KWT,Kuwait,CHN,China,7083003.095,18243452.0,0
2017,USA,USA,CAN,Canada,6903457.819,17524354.231,0
2017,VEN,Venezuela,CHN,China,6565537.755,21761404.0,0
2017,ARE,United Arab Emirates,IND,India,6560100.213,16560693.0,0
2017,NGA,Nigeria,USA,USA,6548208.015,16314077.06,0
2017,RUS,Russian Federation,POL,Poland,6442979.152,17601635.573,0
2017,IRQ,Iraq,KOR,Rep. of Korea,6335831.4,17835970.0,0
2017,VEN,Venezuela,IND,India,5891263.084,19426024.0,0
2017,RUS,Russian Federation,ITA,Italy,5835418.511,10755581.992,0
2017,ARE,United Arab Emirates,THA,Thailand,5366333.744,13945242.62,0
2017,RUS,Russian Federation,BLR,Belarus,5259257.435,18067669.664,0
2017,GBR,United Kingdom,NLD,Netherlands,5191381.347,13132858.497,0
2017,AZE,Azerbaijan,ITA,Italy,5159831.666,12193700.0,0
2017,ARE,United Arab Emirates,KOR,Rep. of Korea,5060691.031,12170854.0,0
2017,NLD,Netherlands,DEU,Germany,4822873.423,10392189.531,0
2017,QAT,Qatar,JPN,Japan,4688658.877,11541897.0,0
2017,RUS,Russian Federation,KOR,Rep. of Korea,4683735.847,7848958.68,0
2017,COL,Colombia,USA,USA,4492503.295,14266606.166,0
2017,SAU,Saudi Arabia,THA,Thailand,4418980.903,12939913.0,0
2017,KWT,Kuwait,JPN,Japan,4392805.9,11534800.0,0
2017,KWT,Kuwait,IND,India,4324843.147,11175744.0,0
2017,NOR,Norway,NLD,Netherlands,4285518.38,10953645.392,0
2017,SAU,Saudi Arabia,BHR,Bahrain,4245516.0,10577195.321,0
2017,ARE,United Arab Emirates,CHN,China,4156681.661,10157654.0,0
2017,USA,USA,CHN,China,4014005.522,8200651.054,0
2017,NGA,Nigeria,ESP,Spain,3884858.84,9435470.0,0
