year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2017,USA,USA,MEX,Mexico,21061937.559,28457820.456,0
2017,RUS,Russian Federation,NLD,Netherlands,13383758.875,32956450.426,0
2017,CAN,Canada,USA,USA,9991994.87,17601710.331,0
2017,NLD,Netherlands,DEU,Germany,8585124.546,12358537.313,0
2017,SGP,Singapore,IDN,Indonesia,8350347.456,15102441.763,0
2017,USA,USA,CAN,Canada,8250180.189,19485914.173,0
2017,IND,India,SGP,Singapore,6786977.237,13700278.335,0
2017,SGP,Singapore,MYS,Malaysia,6412017.335,14113587.223,0
2017,CHN,China,SGP,Singapore,6300871.951,12227356.661,0
2017,USA,USA,BRA,Brazil,6211088.759,11266308.916,0
2017,KOR,Rep. of Korea,CHN,China,5117356.976,8941824.817,0
2017,NLD,Netherlands,BEL,Belgium,4714081.191,9811231.275,0
2017,BEL,Belgium,NLD,Netherlands,4560847.844,9118423.919,0
2017,RUS,Russian Federation,CHN,China,4535900.078,8474649.38,0
2017,MYS,Malaysia,SGP,Singapore,4439733.862,11226313.588,0
2017,ARE,United Arab Emirates,PAK,Pakistan,4430980.834,9335995.0,0
2017,IND,India,ARE,United Arab Emirates,4322486.291,7993338.664,0
2017,KOR,Rep. of Korea,AUS,Australia,4312001.204,9407871.422,0
2017,RUS,Russian Federation,USA,USA,4292017.568,9893940.842,0
2017,SGP,Singapore,AUS,Australia,3864987.646,8426861.825,0
2017,RUS,Russian Federation,TUR,TÃ¼rkiye,3856260.333,8250565.242,0
2017,RUS,Russian Federation,SGP,Singapore,3856051.248,10191162.7,0
2017,KOR,Rep. of Korea,SGP,Singapore,3791508.607,7665940.909,0
2017,SGP,Singapore,CHN,China,3611215.717,8847611.328,0
2017,CHN,China,HKG,"China, Hong Kong SAR",3414698.959,8203844.15,0
2017,USA,USA,CHL,Chile,3217431.215,5915085.551,0
2017,SGP,Singapore,HKG,"China, Hong Kong SAR",3040307.687,8621712.924,0
2017,KOR,Rep. of Korea,USA,USA,3005724.784,2485489.228,0
2017,GBR,United Kingdom,NLD,Netherlands,2939986.039,6448026.652,0
2017,NLD,Netherlands,GBR,United Kingdom,2899525.759,6086877.704,0
2017,RUS,Russian Federation,BEL,Belgium,2875392.894,6612114.034,0
2017,SGP,Singapore,BGD,Bangladesh,2855957.7,6175831.334,0
2017,KOR,Rep. of Korea,JPN,Japan,2810820.652,5231781.929,0
2017,BEL,Belgium,DEU,Germany,2790488.676,5457117.697,0
2017,USA,USA,NLD,Netherlands,2754315.426,2282768.633,0
2017,USA,USA,PER,Peru,2633886.272,4698780.874,0
2017,SGP,Singapore,MMR,Myanmar,2624882.115,5567676.032,0
2017,DZA,Algeria,USA,USA,2539935.678,2010973.141,0
2017,DEU,Germany,AUT,Austria,2536972.638,3802739.231,0
2017,MYS,Malaysia,IDN,Indonesia,2482554.825,4703207.84,0
2017,RUS,Russian Federation,MLT,Malta,2479952.38,2079501.423,0
2017,USA,USA,COL,Colombia,2451807.079,4684118.198,0
2017,IND,India,USA,USA,2432366.528,3441579.181,0
2017,ARE,United Arab Emirates,KOR,Rep. of Korea,2423404.51,5217358.733,0
2017,GBR,United Kingdom,USA,USA,2386546.349,3975171.877,0
2017,RUS,Russian Federation,DEU,Germany,2373368.611,5828118.02,0
2017,DEU,Germany,CHE,Switzerland,2280693.506,3910497.622,0
2017,USA,USA,SGP,Singapore,2277017.058,2316724.621,0
2017,BLR,Belarus,GBR,United Kingdom,2209560.3,5776375.553,0
2017,NLD,Netherlands,FRA,France,2149881.443,3935925.56,0
2017,JPN,Japan,AUS,Australia,2094000.809,5042444.069,0
2017,NLD,Netherlands,NGA,Nigeria,2091308.231,3931700.015,0
2017,CHN,China,PHL,Philippines,2064864.756,4146634.802,0
2017,USA,USA,GTM,Guatemala,2043192.936,3457453.672,0
2017,USA,USA,FRA,France,2025550.693,1758913.5,0
2017,QAT,Qatar,KOR,Rep. of Korea,2015394.65,4140432.211,0
2017,IND,India,MYS,Malaysia,1977495.174,4131215.568,0
2017,KOR,Rep. of Korea,VNM,Viet Nam,1974126.782,3337094.771,0
2017,USA,USA,VEN,Venezuela,1954335.874,2891464.767,0
2017,RUS,Russian Federation,KOR,Rep. of Korea,1869542.584,5181014.692,0
2017,RUS,Russian Federation,GBR,United Kingdom,1819900.884,4194834.045,0
2017,BLR,Belarus,UKR,Ukraine,1819874.8,3581007.0,0
2017,CHN,China,MYS,Malaysia,1785299.304,3289261.821,0
2017,RUS,Russian Federation,ITA,Italy,1773954.522,4215145.981,0
2017,SAU,Saudi Arabia,FRA,France,1772193.953,3595326.812,0
2017,ARE,United Arab Emirates,JPN,Japan,1753936.088,3573238.156,0
2017,MYS,Malaysia,AUS,Australia,1705783.151,3940395.657,0
2017,JPN,Japan,SGP,Singapore,1654295.55,3460401.703,0
2017,RUS,Russian Federation,GRC,Greece,1639597.533,4426915.441,0
2017,IND,India,TUR,TÃ¼rkiye,1628980.603,3611308.684,0
2017,BEL,Belgium,FRA,France,1627038.91,2828119.891,0
2017,RUS,Russian Federation,LVA,Latvia,1615411.33,1326270.433,0
2017,DEU,Germany,NLD,Netherlands,1614683.238,3433856.193,0
2017,THA,Thailand,SGP,Singapore,1602729.885,3402240.943,0
2017,RUS,Russian Federation,FRA,France,1591791.592,3876181.217,0
2017,QAT,Qatar,JPN,Japan,1588623.538,3170623.99,0
2017,ITA,Italy,ESP,Spain,1568276.46,3698538.441,0
2017,NLD,Netherlands,USA,USA,1565743.111,2132549.437,0
2017,RUS,Russian Federation,KAZ,Kazakhstan,1555409.987,2925516.741,0
2017,BEL,Belgium,USA,USA,1541454.545,1456817.156,0
2017,GBR,United Kingdom,IRL,Ireland,1533211.387,3137654.023,0
2017,ESP,Spain,USA,USA,1510002.626,2446234.825,0
2017,FRA,France,NLD,Netherlands,1488999.031,3156110.049,0
2017,MYS,Malaysia,VNM,Viet Nam,1485639.122,3314682.808,0
2017,RUS,Russian Federation,UKR,Ukraine,1474435.489,3000538.58,0
2017,USA,USA,ARG,Argentina,1469929.477,1603661.768,0
2017,KOR,Rep. of Korea,PHL,Philippines,1448138.777,2744017.794,0
2017,SWE,Sweden,GBR,United Kingdom,1443355.606,3097557.495,0
2017,FIN,Finland,SWE,Sweden,1376781.967,1573419.953,0
2017,GBR,United Kingdom,BEL,Belgium,1376104.9,2820521.76,0
2017,USA,USA,CRI,Costa Rica,1353322.374,2440700.19,0
2017,RUS,Russian Federation,JPN,Japan,1311727.793,2421506.381,0
2017,RUS,Russian Federation,DNK,Denmark,1293743.145,2946476.386,0
2017,MEX,Mexico,USA,USA,1287072.405,1201253.321,0
2017,GRC,Greece,LBN,Lebanon,1269637.335,2339107.101,0
2017,USA,USA,ECU,Ecuador,1263554.23,2198716.208,0
2017,DZA,Algeria,BRA,Brazil,1258676.134,2951440.693,0
2017,IND,India,AUS,Australia,1256303.239,2766816.535,0
2017,BEL,Belgium,GBR,United Kingdom,1250438.81,2573222.493,0
2017,USA,USA,PAN,Panama,1212708.636,1061301.631,0
2017,NLD,Netherlands,CAN,Canada,1212589.329,3112296.578,0
2017,KWT,Kuwait,BGD,Bangladesh,1211056.779,2474984.19,0
2017,NLD,Netherlands,SWE,Sweden,1207379.89,1148852.941,0
2017,SAU,Saudi Arabia,KOR,Rep. of Korea,1197776.112,2525183.815,0
2017,VEN,Venezuela,USA,USA,1196676.618,1354893.798,0
2017,JPN,Japan,KOR,Rep. of Korea,1196626.271,853888.671,0
2017,KOR,Rep. of Korea,HKG,"China, Hong Kong SAR",1195122.93,2568384.568,0
2017,IRN,Iran,ARE,United Arab Emirates,1189289.985,2781114.009,0
2017,USA,USA,DOM,Dominican Rep.,1188956.234,237297.372,0
2017,SWE,Sweden,NLD,Netherlands,1179829.618,2430539.62,0
2017,ESP,Spain,NLD,Netherlands,1178396.869,2110972.641,0
2017,ARE,United Arab Emirates,IND,India,1147994.436,2296713.0,0
2017,RUS,Russian Federation,BLR,Belarus,1142223.365,3404879.556,0
2017,ESP,Spain,FRA,France,1131355.158,2094342.7,0
2017,USA,USA,GBR,United Kingdom,1125502.896,2131366.405,0
2017,SGP,Singapore,THA,Thailand,1114273.079,1644674.897,0
2017,DNK,Denmark,SWE,Sweden,1114183.944,2066551.989,0
2017,SWE,Sweden,FIN,Finland,1097848.401,1797503.952,0
2017,FRA,France,BEL,Belgium,1088716.46,2187445.004,0
2017,ITA,Italy,GIB,Gibraltar,1088287.271,2410753.74,0
2017,ARE,United Arab Emirates,GBR,United Kingdom,1069966.327,2025889.28,0
2017,THA,Thailand,VNM,Viet Nam,1039566.529,901576.296,0
2017,IND,India,NLD,Netherlands,1039295.167,1937983.52,0
2017,USA,USA,HND,Honduras,1033032.43,1969705.304,0
2017,KOR,Rep. of Korea,TGO,Togo,1028371.596,2148983.2,0
2017,ESP,Spain,MAR,Morocco,1027031.602,2144852.825,0
2017,LTU,Lithuania,USA,USA,1024402.175,1710184.145,0
2017,IND,India,JPN,Japan,1024123.478,2454271.722,0
2017,IND,India,ISR,Israel,1018422.52,881915.667,0
2017,GRC,Greece,TUR,TÃ¼rkiye,1017748.027,1901850.63,0
2017,ESP,Spain,GIB,Gibraltar,998987.959,2414302.707,0
2017,KWT,Kuwait,JPN,Japan,989685.067,2025401.208,0
2017,SAU,Saudi Arabia,ESP,Spain,974744.88,1861416.346,0
2017,IND,India,CHN,China,974178.33,880781.41,0
2017,COL,Colombia,USA,USA,968391.645,2052746.127,0
2017,DEU,Germany,POL,Poland,958152.169,1523557.077,0
2017,IND,India,KOR,Rep. of Korea,957325.465,2130933.879,0
2017,RUS,Russian Federation,MNG,Mongolia,948731.405,1507397.284,0
2017,SWE,Sweden,NOR,Norway,929305.042,1969954.485,0
2017,KAZ,Kazakhstan,NLD,Netherlands,923667.576,3187141.0,0
2017,IND,India,NPL,Nepal,918107.884,1545942.837,0
2017,ARE,United Arab Emirates,THA,Thailand,916693.602,1579755.933,0
2017,ARE,United Arab Emirates,MYS,Malaysia,914708.546,2184667.183,0
2017,IND,India,ZAF,South Africa,911448.103,2117768.284,0
2017,KOR,Rep. of Korea,MYS,Malaysia,906123.655,1813916.394,0
2017,BEL,Belgium,LUX,Luxembourg,900000.047,1703003.43,0
2017,USA,USA,BHS,Bahamas,899616.028,964635.614,0
2017,RUS,Russian Federation,EST,Estonia,894023.467,2097726.941,0
2017,SGP,Singapore,KOR,Rep. of Korea,882426.603,2487840.176,0
2017,SGP,Singapore,NLD,Netherlands,876180.592,1048274.879,0
2017,NOR,Norway,USA,USA,876179.205,1577310.746,0
2017,KWT,Kuwait,KOR,Rep. of Korea,873398.418,1768040.37,0
2017,KOR,Rep. of Korea,IDN,Indonesia,858318.372,1614006.854,0
2017,FRA,France,USA,USA,855405.184,1358306.732,0
2017,DEU,Germany,FRA,France,842215.051,1564683.849,0
2017,RUS,Russian Federation,POL,Poland,834922.765,1902971.564,0
2017,TUR,TÃ¼rkiye,ARE,United Arab Emirates,828006.523,1515565.446,0
2017,NLD,Netherlands,BRA,Brazil,824197.358,1609730.575,0
2017,CHN,China,AUS,Australia,823518.999,2021781.52,0
2017,USA,USA,MAR,Morocco,819127.328,1824275.002,0
2017,USA,USA,SLV,El Salvador,814499.022,1508885.587,0
2017,SAU,Saudi Arabia,ITA,Italy,812863.082,1566757.46,0
2017,SGP,Singapore,NZL,New Zealand,812702.208,1677898.267,0
2017,BGR,Bulgaria,TUR,TÃ¼rkiye,807619.022,1632517.499,0
2017,PER,Peru,USA,USA,804627.715,1584632.557,0
2017,KOR,Rep. of Korea,NLD,Netherlands,803641.927,1617184.473,0
2017,SGP,Singapore,USA,USA,791921.41,644808.472,0
2017,SAU,Saudi Arabia,JPN,Japan,785200.033,1648245.202,0
2017,NLD,Netherlands,MEX,Mexico,784710.046,1402119.805,0
2017,ITA,Italy,FRA,France,784441.924,1331010.404,0
2017,RUS,Russian Federation,KGZ,Kyrgyzstan,783985.007,1753454.002,0
2017,JPN,Japan,HKG,"China, Hong Kong SAR",781664.964,1987619.637,0
2017,NLD,Netherlands,SGP,Singapore,780123.964,2122169.72,0
2017,MYS,Malaysia,KOR,Rep. of Korea,776003.414,2408028.791,0
2017,ARE,United Arab Emirates,FRA,France,774967.228,1497313.713,0
2017,USA,USA,GIB,Gibraltar,772721.923,753944.135,0
2017,RUS,Russian Federation,FIN,Finland,772065.918,1741298.825,0
2017,THA,Thailand,KHM,Cambodia,770226.436,1145363.259,0
2017,PRT,Portugal,USA,USA,761231.126,1278288.079,0
2017,PER,Peru,PAN,Panama,757688.995,2076273.692,0
2017,SGP,Singapore,LKA,Sri Lanka,750059.642,1480316.28,0
2017,FRA,France,GBR,United Kingdom,749989.795,1368606.421,0
2017,ITA,Italy,NLD,Netherlands,742505.253,1497920.532,0
2017,SAU,Saudi Arabia,THA,Thailand,739885.819,1330052.73,0
2017,SVK,Slovakia,CZE,Czechia,737955.791,1412384.022,0
2017,DEU,Germany,CZE,Czechia,729024.086,1221159.923,0
2017,KWT,Kuwait,GBR,United Kingdom,727122.802,1649262.547,0
2017,USA,USA,CHN,China,719106.839,776108.759,0
2017,IND,India,LKA,Sri Lanka,718073.942,1534734.681,0
2017,RUS,Russian Federation,ESP,Spain,717629.231,2211241.974,0
2017,GRC,Greece,GIB,Gibraltar,714903.376,1637614.647,0
2017,ITA,Italy,TUR,TÃ¼rkiye,712841.864,1227091.246,0
2017,JPN,Japan,CHN,China,708241.257,1285860.078,0
2017,POL,Poland,NLD,Netherlands,699560.855,2213218.435,0
2017,TTO,Trinidad and Tobago,USA,USA,697568.628,611041.214,0
2017,ITA,Italy,SVN,Slovenia,692972.032,1304151.524,0
2017,FIN,Finland,NLD,Netherlands,689563.429,1445932.85,0
2017,ITA,Italy,LBY,Libya,686587.006,1278279.719,0
2017,BRA,Brazil,SGP,Singapore,675198.818,2223692.228,0
2017,MYS,Malaysia,BGD,Bangladesh,673582.387,1450886.753,0
2017,NLD,Netherlands,TGO,Togo,669244.968,1327897.422,0
2017,ITA,Italy,LBN,Lebanon,668932.486,1293741.281,0
2017,ITA,Italy,TUN,Tunisia,668777.273,1309884.546,0
2017,ESP,Spain,PRT,Portugal,664335.175,1273798.136,0
2017,MYS,Malaysia,CHN,China,664207.085,1741336.381,0
2017,SAU,Saudi Arabia,GBR,United Kingdom,659395.584,1242366.91,0
2017,RUS,Russian Federation,SWE,Sweden,657971.729,1558534.639,0
2017,GRC,Greece,SAU,Saudi Arabia,644206.124,2063906.167,0
2017,ARE,United Arab Emirates,ITA,Italy,640118.689,1210207.81,0
2017,THA,Thailand,LAO,Lao People's Dem. Rep.,637092.958,502699.86,0
2017,BEL,Belgium,NGA,Nigeria,628277.941,1193516.354,0
2017,NLD,Netherlands,PAK,Pakistan,626319.2,1160703.746,0
2017,ISR,Israel,TUR,TÃ¼rkiye,623537.784,1690169.088,0
