Entity,Code,Year,Oil
Africa,OWID_AFR,1965,341.07257
Africa,OWID_AFR,1966,369.46457
Africa,OWID_AFR,1967,368.28156
Africa,OWID_AFR,1968,389.57162
Africa,OWID_AFR,1969,397.3726
Africa,OWID_AFR,1970,434.28757
Africa,OWID_AFR,1971,472.22516
Africa,OWID_AFR,1972,509.09583
Africa,OWID_AFR,1973,549.6427
Africa,OWID_AFR,1974,570.538
Africa,OWID_AFR,1975,598.6075
Africa,OWID_AFR,1976,651.3652
Africa,OWID_AFR,1977,692.9117
Africa,OWID_AFR,1978,730.7279
Africa,OWID_AFR,1979,770.22455
Africa,OWID_AFR,1980,818.9584
Africa,OWID_AFR,1981,887.7277
Africa,OWID_AFR,1982,930.6774
Africa,OWID_AFR,1983,964.2179
Africa,OWID_AFR,1984,978.6124
Africa,OWID_AFR,1985,1003.6883
Africa,OWID_AFR,1986,979.9832
Africa,OWID_AFR,1987,1037.7959
Africa,OWID_AFR,1988,1081.3895
Africa,OWID_AFR,1989,1117.3824
Africa,OWID_AFR,1990,1138.2854
Africa,OWID_AFR,1991,1142.5394
Africa,OWID_AFR,1992,1162.5455
Africa,OWID_AFR,1993,1175.4089
Africa,OWID_AFR,1994,1213.8041
Africa,OWID_AFR,1995,1253.9824
Africa,OWID_AFR,1996,1282.5608
Africa,OWID_AFR,1997,1322.649
Africa,OWID_AFR,1998,1351.2659
Africa,OWID_AFR,1999,1400.9159
Africa,OWID_AFR,2000,1408.781
Africa,OWID_AFR,2001,1431.3003
Africa,OWID_AFR,2002,1465.1776
Africa,OWID_AFR,2003,1499.0969
Africa,OWID_AFR,2004,1569.3588
Africa,OWID_AFR,2005,1643.527
Africa,OWID_AFR,2006,1669.9397
Africa,OWID_AFR,2007,1727.311
Africa,OWID_AFR,2008,1799.118
Africa,OWID_AFR,2009,1870.0795
Africa,OWID_AFR,2010,1958.0597
Africa,OWID_AFR,2011,1958.3862
Africa,OWID_AFR,2012,2105.0354
Africa,OWID_AFR,2013,2203.0942
Africa,OWID_AFR,2014,2253.4895
Africa,OWID_AFR,2015,2320.0535
Africa,OWID_AFR,2016,2315.4639
Africa,OWID_AFR,2017,2349.5767
Africa,OWID_AFR,2018,2337.529
Africa,OWID_AFR,2019,2364.799
Africa,OWID_AFR,2020,2145.362
Africa,OWID_AFR,2021,2333.0635
Africa,OWID_AFR,2022,2468.4685
Africa,OWID_AFR,2023,2474.7007
Africa,OWID_AFR,2024,2543.7734
Africa (EI),,1965,341.07257
Africa (EI),,1966,369.46457
